WKT,Name,Website,Category,Image #1,Image #2,Image #3,Description,Webcam,UV,SLAG,Common Finds,Rare Finds,Restroom,Off-Road,Limited Parking,Park Pass,Handicap,Dog Friendly,Video #1,Video #2,Video #3
POINT (-88.5298158 47.2741285),Calumet Waterworks Park,https://www.visitkeweenaw.com/listing/calumet-waterworks-park/413/,Beach,,,,,,Yes,No,"Lake Superior Agate, Prehnite, Natrolite, Mesolite, Yooperlite","Mesolite, Patricianite, Chlorastrolite, Copper",,,,,,,,,
POINT (-87.987824 46.507345),Champion Mine,http://www.jsjgeology.net/Champion-Mine-specularite.htm,Mine Dump,,,,,,No,No,"Specular Hematite, Quartz, Mica Muscovite","Black Tourmaline, Pyrite, Chalcopyrite, Goethite, Magnetite, ",No,No,No,No,No,No,,,
POINT (-85.63268509999999 45.1688902),Christmas Cove Beach,https://mynorth.com/at_biz_dir/christmas-cove-beach/,Beach,,,,,,Yes,No,,,,,,,,,,,
POINT (-88.31311 47.37286),Cliff Mine,http://www.geo.mtu.edu/KeweenawGeoheritage/BlackLavas/Cliff.html,Mine Dump,"http://cdn.michiganrockhounds.com/files/Map%20Images/Cliff%20South/IMG_1202.jpg,Jennifer Hazelbaker","http://cdn.michiganrockhounds.com/files/Map%20Images/Cliff%20South/image0.jpeg,Jennifer Hazelbaker","http://cdn.michiganrockhounds.com/files/Map%20Images/Cliff%20South/IMG_1201.jpg,Jennifer Hazelbaker",Cliff Mine is in the Keweenaw Peninsula. It's a mine tailings Pile and has over 40 minerals listed on Mindat. It is open to the public. There are some really nice remnants of the old mine here besides just the tailings piles.,,No,No,"Copper, Calcite, Chlorite, Epidote, Laumontite, Prehnite,","Isle Royale Greenstone, Chisel Chip",No,No,No,No,No,No,https://youtu.be/x_shFcl8Duo, https://youtu.be/GkIEJA88Djc,
POINT (-88.315789 47.376444),Cliff North,http://www.geo.mtu.edu/KeweenawGeoheritage/BlackLavas/Cliff.html,Mine Dump,"http://cdn.michiganrockhounds.com/files/Map%20Images/Cliff%20North/20220817_141059.jpg, Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Cliff%20North/20220817_141104.jpg, Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Cliff%20North/20220817_141054.jpg, Cody Wiedenbein",Cliff North is in the Keweenaw Peninsula. It's a mine tailings Pile and has over 40 minerals listed on Mindat. It is open to the public. There are some really nice remnants of the old mine here besides just the tailings piles.,,No,No,"Copper, Calcite, Chlorite, Epidote, Laumontite, Prehnite,","Isle Royale Greenstone, Azurite, Chisel Chip",No,Yes,No,No,No,No,,,
POINT (-80.5633098 41.96329060000001),Conneaut Township Park,https://www.conneauttownshippark.com/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-84.77053873575039 42.55337927319916),Crandell Lake,https://www.eatoncounty.org/facilities/facility/details/Crandell-Park-2,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Crandell%20Lake/Crandell%20Lake.png,Sheila Ruz Hartford","https://cdn.michiganrockhounds.com/files/Map%20Images/Crandell%20Lake/CrandellLake3.jpg,Sheila Ruz Hartford","https://cdn.michiganrockhounds.com/files/Map%20Images/Crandell%20Lake/Crandell%20Lake2.png,Sheila Ruz Hartford",,,No,No,,,Yes,No,No,No,,Yes,,,
POINT (-85.2573616 46.7529161),Crisp Point Lighthouse,https://www.crisppointlighthouse.org/,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Crisp%20Point/20210717_090127.jpg,Cody Wiedenbein","https://cdn.michiganrockhounds.com/files/Map%20Images/Crisp%20Point/20210717_090122.jpg,Cody Wiedenbein","https://cdn.michiganrockhounds.com/files/Map%20Images/Crisp%20Point/20210717_102233.jpg,Cody Wiedenbein","As the name implies, there's a lighthouse here that you can tour for a donation. It's a beautiful beach with a good variety of pretty rocks. The road can be rough, but does not require four wheel drive in my experience.",,Yes,No,"Granite, Quartz, Chert, Omar, Gneiss, Jasper, Unakite, Rhyolite, ","Lake Superior Agate, Yooperlite, Hematite, Mary Ellen Jasper",Yes,Yes,No,No,No,Yes,https://youtu.be/b0oe7i5AtgI,https://youtu.be/s3WXOVPtroU,
POINT (-85.615797 46.6748832),Deer Park Beach at Lake Superior,https://www.michigan.gov/dnr/places/natural-areas/deer-park,Beach,,,,"Clean beach, full of rocks both in the water and on the shore. Walk east to find a large amount of rocks.",,Yes,No,,Lake Superior Agate,Yes,No,Yes,Yes,Yes,No,,,
POINT (-86.2922755 42.3724729),Deerlick Creek Park,https://www.michiganwatertrails.org/location.asp?ait=av&aid=118,Beach,,,,A small secluded beach with a fair amount of rocks and a creek that empties into the lake. ,,Yes,Yes,"Fossil Soup, Lightning Stone, Unakite, Petoskey Stone, Jasper","Horn Coral, Cold Water Agate, Hematite, Yooperlite, Slag",Yes,No,Yes,No,No,Yes,,,
POINT (-82.5981496 43.6149408),Delaware Park,https://www.sanilaccountyparks.com/delaware-park/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-87.88335579999999 43.169892),Doctors Park,https://www.doctorsparkfriends.org/,Beach,,,,,,No,No,,,,,,,,Yes,,,
POINT (-81.7414393 41.488015),Edgewater Beach,https://www.clevelandmetroparks.com/parks/visit/parks/lakefront-reservation/edgewater-beach,Beach,,,,,https://www.clevelandmetroparks.com/parks/visit/parks/lakefront-reservation/edgewater-beach,No,No,,,,,,,,,,,
POINT (-85.41852279815369 44.898201551882124),Elk Rapids Day Park,https://elkrapids.org/parks-facilities/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Elk%20Rapids%20Day%20Park/IMG_7024%20-%20Niki%20Crow.JPG,Niki Crow","http://cdn.michiganrockhounds.com/files/Map%20Images/Elk%20Rapids%20Day%20Park/IMG_7025%20-%20Niki%20Crow.JPG,Niki Crow","http://cdn.michiganrockhounds.com/files/Map%20Images/Elk%20Rapids%20Day%20Park/IMG_7006%20-%20Niki%20Crow.JPG,Niki Crow",Beautiful location off the beaten path but close to the Elk Rapids public beach.,,Yes,Yes,"Petoskey Stone, Charlevoix Stone, Elk Blue, Unakite, Chert",Cold Water Agate,Yes,No,Yes,No,No,Yes,,,
POINT (-85.41853359999999 44.8981161),Elk Rapids Sandbar,https://elkrapids.org/parks-facilities/,Beach,,,,,,Yes,Yes,"Petoskey Stone, Charlevoix Stone, Elk Blue, Unakite, Chert",Cold Water Agate,,,,,,,,,
POINT (-86.0681292 44.8120443),Empire Beach,https://mynorth.com/at_biz_dir/empire-beach-park/,Beach,,,,,https://sleepingbearsurf.com/wave-camera/,Yes,No,"Petoskey Stone, Charlevoix Stone, Unakite, Chert","Lake Superior Agate, Yooperlite",,,,,,,,,
POINT (-87.0468976 45.7389496),Escanaba Municipal Beach,https://visitescanaba.com/things-to-see-and-do/member/escanaba-municipal-beach,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-81.5688907 41.5838318),Euclid Beach Park,https://www.clevelandmetroparks.com/parks/visit/parks/euclid-creek-reservation/euclid-beach-park,Beach,, ,,,,Yes,No,,,,,,,,,,,
POINT (-86.3373592 44.254159),Fifth Avenue Beach,http://www.manisteemi.gov/facilities/facility/details/Fifth-Avenue-Beach-4,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-85.3101978 45.308006),Fisherman's Island State Park,https://www.visitcharlevoix.com/Fishermans-Island-State-Park-and-Beach,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Fisherman%27s%20Island%20State%20Park/306515085_10229003514771886_7060026983693545720_n.jpg,Rhonda Pisani Shank","http://cdn.michiganrockhounds.com/files/Map%20Images/Fisherman%27s%20Island%20State%20Park/306350838_10229003514371876_6478137845791136245_n.jpg,Rhonda Pisani Shank","http://cdn.michiganrockhounds.com/files/Map%20Images/Fisherman%27s%20Island%20State%20Park/307035225_10229003511331800_4744703340884241574_n.jpg,Rhonda Pisani Shank",Great mixture of fossils along with petoskey and charlevoix stones,,No,No,"Petoskey Stone, Charlevoix Stone","Lake Superior Agate, Yooperlite",Yes,No,Yes,Yes,Yes,No,,,
POINT (-79.78165981104047 42.25990265005532),North East Conservation Park,http://www.northeasttwp.org/Parks-Recreation,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-82.4725833 43.0820424),Fort Gratiot County Park,https://www.stclaircounty.org/offices/parks/fort_gratiot.aspx,Beach,,,,"This location charges $20 for out-of-town visitation. This is a by-visit fee, so if you leave for any purpose you will be charged another fee for returning.",,Yes,No,,,,,,,,,,,
POINT (-86.2458327 44.6323741),Frankfort Public Beach And Playground,https://www.michiganwatertrails.org/location.asp?ait=av&aid=1666,Beach,,,,       ,https://harborlightsresort.net/webcams/,No,No,"Granite, Chert, Quartz, Chain Coral,  Horn Coral, Frankfort Green","Petoskey Stone, Unakite",,,,,,,,,
POINT (-83.53319879784016 46.00507744361093),Glen Cove Beach,https://www.visitdrummondisland.com/beaches.html,Beach,,,,,,No,No,,,No,No,Yes,No,No,Yes,,,
POINT (-85.98518200000001 46.6754166),Grand Marais Public Beach,,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Grand%20Marais%20Public%20Beach/C40266F9-F99C-48EC-BC2E-8774A214F7DA%20-%20Kristan%20Buege.jpeg,Kristan Buege","https://cdn.michiganrockhounds.com/files/Map%20Images/Grand%20Marais%20Public%20Beach/789B1C71-9A06-4DD6-8BA0-CE747FC7685E%20-%20Kristan%20Buege.jpeg,Kristan Buege",,"Grand Marais Public Beach is a popular rockhounding spot for hunters of all kinds. Agates are commonly found here; however, due to the heavy traffic and frequency of rockhounds, the inexperienced may struggle to find a single agate during their visit. The beach is handicap accessible via ramps that are kept well maintained, however the walk may prove difficult for some.",,Yes,No,"Quartz, Granite, Jasper, Banded Iron Formation, Gneiss, Rhyolite, Basalt","Lake Superior Agate, Yooperlite",No,No,No,No,Yes,Yes,,,
POINT (-86.53681759999999 42.0030997),Grand Mere State Park,https://www.michigandnr.com/ParksandTrails/Details.aspx?id=450&type=SPRK,Beach,,,,,,No,No,,,,,,Yes,,,,,
POINT (-85.5499517 45.2102249),Grand Traverse Lighthouse,https://www.grandtraverselighthouse.com/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-87.84116159999999 42.9089413),Grant Park Beach,https://www.visitmilwaukee.org/partners/grant-park-3048/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-88.45253679999999 47.3436862),Gratiot River County Park,https://www.visitkeweenaw.com/listing/gratiot-river-county-park/384/,Beach,,,,This is a beautiful beach on the Keweenaw Peninsula.,,Yes,No,"Freda Sandstone, Basalt, Rhyolite, Unakite, Granite","Lake Superior Agate, Prehnite, Mesolite,",No,No,No,No,Yes,No,,,
POINT (-89.43599449999999 46.8389557),Green Park,https://www.michiganwatertrails.org/location.asp?ait=av&aid=240,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Green%20Park/307483775_6065784250115778_4631644464530748587_n.jpg,Jennifer Hazelbaker","https://cdn.michiganrockhounds.com/files/Map%20Images/Green%20Park/308881609_494204962270836_8485601022769600878_n.jpg,Jennifer Hazelbaker","https://cdn.michiganrockhounds.com/files/Map%20Images/Green%20Park/308800829_2902983956675467_8243594691481332295_n.jpg,Jennifer Hazelbaker","Located in Ontonagon, right off 64. It has a pavilion, picnic tables, and port-a-johns. It wasn’t busy at all the two days we stopped by there.",,No,No,"Charlevoix Stone, Honeycomb Coral, Rhyolite, Quartz","Lake Superior Agate, Yooperlite",Yes,No,No,No,Yes,Yes,,,
POINT (-83.29764109999999 44.6474996),Harrisville State Park,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?type=SPRK&id=451,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Harrisville/20220608_083638.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Harrisville/20220608_083617.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Harrisville/20220608_083614.jpg,Cody Wiedenbein",This is a state park campground. It's a popular place so the rocks get picked over. ,,Yes,No,"Granite, Chert, Quartz, Chain Coral,  Horn Coral","Petoskey Stone, Puddingstones, Yooperlite",Yes,No,No,Yes,Yes,No,https://youtu.be/roKD6QxpaW4,https://youtu.be/ri-DF6UZyBo,
POINT (-87.71519169999999 47.4232738),High Rock Bay,https://www.onlyinyourstate.com/michigan/rugged-bay-gem-mi/,Beach,,,,,,Yes,No,,Lake Superior Agate,No,Yes,No,No,No,Yes,,,
POINT (-83.8835546 45.4637182),Hoeft State Park,https://www.michigandnr.com/parksandtrails/Details.aspx?id=456&type=SPRK,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Hoeft%20State%20Park/Screen%20Shot%202022-06-06%20at%2010.11.39%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Hoeft%20State%20Park/Rock%20Hunting%20at%20Hoeft%20State%20Park%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Hoeft%20State%20Park/Screen%20Shot%202022-06-06%20at%2010.12.08%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)",Many of the rocks here are pretty small. There's a lot of plain limestone. I did better walking to the south where the rocks were better.,,No,No,"Puddingstone, Granite, Quartz, Chert","Horn Coral, Brachiopod, Crinoid",Yes,No,No,Yes,No,No,https://youtu.be/e1Y46saxSaE,https://youtu.be/sbAyVan9KeQ,
POINT (-82.44416020000001 43.0401311),Keewahdhin Beach,https://www.theswimguide.org/beach/659,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-81.174568 41.78842179999999),Lake Erie Bluffs,https://www.lakemetroparks.com/parks-trails/lake-erie-bluffs/,Beach,,,,,https://lake-erie-bluffs-webcam-live.click2stream.com/,No,No,,,Yes,No,No,No,No,No,,,
POINT (-82.5392131 43.404184),Lake Huron Roadside Park,http://www.us23heritageroute.org/location.asp?ait=av&aid=271,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Lake%20Huron%20Roadside%20Park/Screen%20Shot%202022-06-06%20at%209.52.25%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rock)","http://cdn.michiganrockhounds.com/files/Map%20Images/Lake%20Huron%20Roadside%20Park/DSC04192%20-%20Robert%20Abram.JPG,Rob Abram (Michigan Rock)","http://cdn.michiganrockhounds.com/files/Map%20Images/Lake%20Huron%20Roadside%20Park/DSC04186%20-%20Robert%20Abram.JPG,Rob Abram (Michigan Rock)","This is a roadside park with a rocky beach. There are puddingstones and fossils, but not Petoskey Stone.",,No,No,"Puddingstone, Gowganda Tillite, Stinkstone, Quartz, Charlevoix Stone, Horn Coral,","Brachiopod, Petoskey Stone",Yes,No,Yes,No,No,No,https://youtu.be/HUJCYaKymmU,,
POINT (-85.17550969999999 45.3624114),Lake Michigan Shores Roadside Park,,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-85.7559713 46.67681450000001),Lake Superior State Forest Campground,https://www.michigandnr.com/parksandtrails/details.aspx?id=668&type=SFCG,Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Lake%20Superior%20Sate%20Forest%20Campground/IMG_3697%20-%20Robert%20Abram.JPG,Rob Abram (Michigan Rocks)","https://cdn.michiganrockhounds.com/files/Map%20Images/Lake%20Superior%20Sate%20Forest%20Campground/IMG_3701%20-%20Robert%20Abram.JPG,Rob Abram (Michigan Rocks)",,"Just a bit east of the campground is a parking lot that locals call ""Perry's Landing"". This is easy access to a long, rocky beach with plenty of beautiful rocks.",,Yes,No,"Granite, Unakite, Quartz, Omar, Chert",Lake Superior Agate,Yes,No,Yes,Yes,No,No,https://youtu.be/hkpIggZmqLc,https://youtu.be/nrIcqhL5ub8,
POINT (-82.4967775 43.1240772),Lakeport State Park Campground,https://www.michigandnr.com/parksandtrails/details.aspx?id=466&type=SPRK,Beach,,,,,,No,No,,,,,,Yes,,,,,
POINT (-87.388066 46.561165),Lakeshore Beach,"https://cityofnovi.org/services/parks,-recreation-and-cultural-services/parks-and-recreation-facilities/lakeshore-park",Beach,"https://cdn.michiganrockhounds.com/files/Map%20Images/Lakeshore%20Beach/Screen%20Shot%202022-06-05%20at%206.47.21%20PM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","https://cdn.michiganrockhounds.com/files/Map%20Images/Lakeshore%20Beach/DSC03642%20-%20Robert%20Abram.JPG,Rob Abram (Michigan Rocks)",,"In Marquette, there is a parking spot between Presque Isle and Shiras Park (Picnic Rocks). Park there and walk to the south toward Shiras Park. Do not attempt to swim to Picnic Rocks as there are dangerous currents and many people have drowned there.",,No,Yes,"Slag, Quartz, Granite",Lake Superior Agate,No,No,No,No,No,No,https://youtu.be/YNrhKHjalTo,,
POINT (-82.4302472 43.0197522),Lakeside Park,https://www.porthuronrec.com/beach,Beach,,,,This beach requires a $20 entry fee for non-residents. The beach itself is very nice area with plenty of rocks and sand to satisfy all in your party.,,Yes,No,"Petoskey Stone, Unakite, Puddingstone","Cold Water Agate,",Yes,No,No,No,Yes,No,,,
POINT (-82.4225869 43.0071203),Lighthouse Beach,https://huroncountyparks.com/lighthouse-county-park,Beach,,,,,,No,No,,,Yes,No,No,No,Yes,Yes,,,
POINT (-88.695808 46.799411),Limestone Mountain Quarry,,Quarry,"https://cdn.michiganrockhounds.com/files/Map%20Images/Limestone%20Mountain/20220818_112804.jpg,Cody Wiedenbein","https://cdn.michiganrockhounds.com/files/Map%20Images/Limestone%20Mountain/20220818_141200.jpg,Cody Wiedenbein","https://cdn.michiganrockhounds.com/files/Map%20Images/Limestone%20Mountain/20220818_112806.jpg,Cody Wiedenbein","Here rests an abandoned limestone quarry dug halfway into the cliffside of Limestone Mountain. Large gastropod fossils can be found here quite easily, but may take great work with a set of tools to pry them for their limestone matrix as they're often found in large limestone blocks that measure around several tons in weight. Smaller fossils can be found scattered on the ground near the cliff side, but visitors must remain cautious. Do NOT disturb the cliff face.",,No,No,"Gastropod, Brachiopod, Crinoid","Belemnite, Calcite, Pyrite",No,No,No,No,Yes,Yes,,,
POINT (-90.322092 46.60386999999999),Little Girls Point County Park,https://www.gogebicforestryandparks.com/littlegirlspoint,Beach,,,,"Little Girl's Point County Park is known for it's scenic beauty and dense, rocky beaches; perfect for the adventuring rockhound. Accompanying the park is a campground of 31 sites alongside a number of electrical hookups available for use. While pets are allowed on the campgrounds, they are not allowned on the beach itself.",,Yes,No,"Basalt, Granite, Unakite, Jasper, Quartz, Jacobsville Sandstone,",Lake Superior Agate,Yes,No,Yes,No,No,No,,,
POINT (-84.97519539999999 45.37266229999999),Magnus Park,https://www.petoskey.us/departments/parks_and_recreation/campground.php,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Magnus%20Park/20220608_145128.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Magnus%20Park/20220608_145135.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Magnus%20Park/20220608_145133.jpg,Cody Wiedenbein",,,No,Yes,"Petoskey Stone, Charlevoix Stone, Brachiopod, Horn Coral",Slag,Yes,No,No,No,Yes,Yes,,,
POINT (-86.3653449 44.19737659999999),Magoon Creek Natural Area,https://www.visitmanisteecounty.com/project/magoon-creek,Beach,,,,,,Yes,No,,Yooperlite,,,,,,,,,
POINT (-82.3662736 41.4250444),Main Street Beach,https://www.cityofvermilionohio.gov/Parks-and-Recreation/Parks-Department/Public-Beaches/Main-Street-Beach,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-85.4470132 44.8464943),Maple Bay Natural Area Parking,https://www.gtrlc.org/recreation-events/preserve/maple-bay-natural-area/,Beach,,,,"Excellent parking in a somewhat hidden lot with a port-a-john. A little bit of a hike through the woods on a well maintained path; down hill to the beach, uphill back to your car. Not a wide open beach like a state park, lots of beach grass but our favorite place to go rock hunting and relaxing. ",,No,Yes,"Petoskey Stone, Charlevoix Stone, Slag, Beach Glass",,Yes,No,Yes,No,No,Yes,,,
POINT (-88.6119186 47.23706929999999),McLain State Park,https://www.michigandnr.com/parksandtrails/Details.aspx?id=423&type=SPRK,Beach,,,,There is a much greater variety of rock here than in a lot of places in the Keweenaw Peninsula. It's a good place to find prehnite. ,,No,No,"Prehnite, Quartz, Rhyolite, Granite",Lake Superior Agate,Yes,No,No,Yes,No,No,https://youtu.be/3QtaKsfRNyY,,
POINT (-85.26463170000001 45.3188405),Michigan Beach Park,https://www.visitcharlevoix.com/Michigan-Beach-Park,Beach,,,,,,Yes,No,,,,,,,,,,,
POINT (-85.62807717913017 46.6766048538908),Muskallonge Lake State Park,https://www.michigan.org/property/muskallonge-lake-state-park,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Muskallong/20220610_164501.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Muskallong/20220610_164514.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Muskallong/20220610_164459.jpg,Cody Wiedenbein","Across the road from the campground, this beach is packed with beautiful rocks as far as the eye can see. Many agate hunters call this their stomping grounds, while yooperlite hunters claim the nights.",,Yes,No,"Granite, Chert, Omar, Unakite, Quartz, Gneiss, Rhyolite, Basalt,","Lake Superior Agate, Yooperlite",Yes,No,No,Yes,No,No,https://youtu.be/d5lpmOw2M0w,https://youtu.be/FTAv1QjFkRw,
POINT (-83.3246235 44.8551446),Negwegon State Park,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?type=SPRK&id=476,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Negwegon%20State%20Park/Screen%20Shot%202022-06-07%20at%2011.38.27%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Negwegon%20State%20Park/Negwegon%20-%20Robert%20Abram.jpg,Rob Abram (Michigan Rocks)","http://cdn.michiganrockhounds.com/files/Map%20Images/Negwegon%20State%20Park/Screen%20Shot%202022-06-07%20at%2011.39.02%20AM%20-%20Robert%20Abram.jpeg,Rob Abram (Michigan Rocks)","Negwegon State park has a beautiful sandy and rocky beaches, hiking trails and a few backcountry campsites. You have to walk almost a mile to the north to get to the first rocks. The beach to the south is sandy.",,No,No,"Puddingstone, Petoskey Stone, granite, Gneiss, Quartz, Gowganda Tillite,  Charlevoix Stone",,Yes,No,No,Yes,Yes,No,https://youtu.be/ghXeqtjjtKs,https://youtu.be/98qD13QZlkU,https://youtu.be/yzX0_E1ylaE
POINT (-81.52773549999999 41.6148377),Noble Beach,https://www.theswimguide.org/beach/1337,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-85.7595914 45.0260234),North Beach,https://leelanau.com/leland-beaches/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/North%20Beach/20220910_133550.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/North%20Beach/20220910_133605.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/North%20Beach/20220910_133616.jpg,Cody Wiedenbein","Very sandy beach but nice rocks in the water including leland blues, petoskey's and unakite.",https://www.youtube.com/watch?v=s7sY1waeOf4,No,Yes,"Petoskey Stone, Unakite, Stromatoporoid, Charlevoix Stone, Horn Coral, Stromatolite, Granite, Quartz","Mary Ellen Jasper, Hematite, Lake Superior Agate, Cold Water Agate, Leland Blue, Yooperlite",No,No,Yes,No,No,Yes,https://www.youtube.com/watch?v=7yYF-TWaDGM,,
